Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
4/8/2026,"Multi. Dir. Tempo","Sean McElwain",TE,2160.3,646.95,1513.35,0,0,0,0,0,10.17,49.04,0,0,3,38,3,0,7.73,3.81,0.14,1,19,1,0,7.98,3.03,0.05,117.74,126.89,25,5.63,103.22,0.4,94.93,38.32,0.46,0,1,3.36,6.72,11,1,1,0,0,3915.81,98453.32,"Entire Session",2:38:32 PM,2:59:27 PM,23.82,
4/8/2026,"Multi. Dir. Tempo","Jackson Blee",TE,3085.33,1220.38,1819.41,45.54,0,0,0,0,13.37,66.25,0,0,14,61,14,0,6.48,3.97,0.25,9,39,9,1,5.87,4.44,0.16,183.12,236.53,41,3.24,54.57,0.77,133.6,102.51,8.32,1.77,13,56.57,22.99,93,14,14,1,1,7071.89,144847.38,"Entire Session",2:02:18 PM,2:58:50 PM,47.39,
4/8/2026,"Multi. Dir. Tempo","Davin Dzidzienyo",DL,1578.8,1093.03,347.31,138.45,0,0,0,0,12.03,63.12,0,0,28,37,28,15,7.24,7.27,0.54,21,27,21,7,5.95,5.06,0.41,190.36,157.5,24,3.7,30.72,1.7,64.49,109.61,44.41,3.13,0,0,10.87,254,81,78,3,0,5990.19,82416.96,"Entire Session",2:58:12 PM,3:49:35 PM,19.24,
4/8/2026,"Multi. Dir. Tempo","Bryce Barnes",DB,3021.37,1015.24,1978.89,27.23,0,0,0,0,13.02,57.51,0,0,20,62,20,2,7.76,4.32,0.38,12,44,12,0,7.93,3.63,0.23,342.8,433.96,51,6.54,57.65,2.31,135.84,313.23,131.61,76.66,8,33.59,21.18,495,161,118,58,15,5986.99,144993.02,"Entire Session",2:07:20 PM,2:59:44 PM,49.89,
4/8/2026,"Multi. Dir. Tempo","Garrett Robertson",WR,2976.42,1221.91,1754.51,0,0,0,0,0,10.25,48.79,0,0,4,57,4,0,6.92,3.49,0.07,4,30,4,0,7.18,3.55,0.07,126.71,166.13,36,2.29,53.8,0.72,128.16,92.77,1.21,0,11,40.82,19.65,45,2,2,0,0,4478.12,137617.73,"Entire Session",2:04:22 PM,2:59:42 PM,44.78,
4/8/2026,"Multi. Dir. Tempo","Leonte Oulahi",WR,3201.13,1390.4,1802.61,8.13,0,0,0,0,11.63,53.87,0,0,12,53,12,2,7.58,4.25,0.22,6,40,6,0,8.27,3.91,0.11,148.95,166.6,27,2.72,58.47,1.33,137.5,183.35,52.65,16.66,11,41.96,29.62,268,83,71,14,2,5226.73,148025.14,"Entire Session",2:05:23 PM,3:00:08 PM,52.9,
4/8/2026,"Multi. Dir. Tempo","Elijah Rainer",LB,3386.46,1260.66,2059.87,65.92,0,0,0,0,12.14,59.71,0,0,12,72,12,4,6.06,4.52,0.22,6,42,6,0,7.93,3.75,0.11,215.9,302.27,42,4,62.7,1.18,148.28,175.35,29.76,11.04,9,41.35,23.55,244,48,38,11,1,6253.88,157211.41,"Entire Session",2:05:50 PM,2:59:50 PM,54.68,
4/8/2026,"Multi. Dir. Tempo","Jaden Boring",LB,3130.07,1251.81,1878.26,0,0,0,0,0,10.59,49.58,0,0,10,55,10,0,6.63,3.52,0.19,2,27,2,0,6.81,3.2,0.04,200.24,291.74,41,3.8,59.36,1.05,136.08,143.29,9.63,0.92,8,27.81,20.97,209,19,18,1,0,5079.41,146007.36,"Entire Session",2:06:39 PM,2:59:22 PM,49.29,
4/8/2026,"Multi. Dir. Tempo","Ty Gordon",DL,2363.42,944.57,1385.54,33.32,0,0,0,0,11.12,58.74,0,0,5,32,5,0,6.3,3.66,0.1,1,18,1,0,7.28,3.33,0.02,113.29,144.7,26,2.26,47.18,0.43,101.4,43.88,0,0,0,0,14.62,11,0,0,0,0,3379.95,108775,"Entire Session",3:00:00 PM,3:50:06 PM,32.26,
4/8/2026,"Multi. Dir. Tempo","Josh Miller",RB,3017.48,1265.09,1712.46,39.92,0,0,0,0,12.15,57.69,0,0,13,59,13,4,6.89,4.61,0.24,14,31,14,1,7.21,4.15,0.26,194.32,270.82,36,3.55,55.16,0.76,130.3,99.23,5.46,0,9,43.37,24.19,109,12,12,0,0,5071.63,141140.16,"Entire Session",2:05:21 PM,3:00:03 PM,47.17,
