Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
2/13/2026,"Helmets","Sean McElwain",TE,2066.73,1054.5,894.39,114.97,2.88,0,0,2.88,14.81,71.41,0,0,28,68,28,5,7.73,4.9,0.57,17,54,17,6,7.98,4.6,0.34,221.54,180.93,18,4.49,41.87,1.08,87.29,94.44,28.53,19.58,11,67.99,19.16,128,33,24,14,5,6564.44,103536.09,"Entire Session",3:56:34 PM,4:45:55 PM,33.51,
2/13/2026,"Helmets","Bryce Barnes",DB,5685.81,2782.01,2417.45,442.48,36.63,7.23,0,43.87,19.03,84.05,7.23,0.06,86,146,86,32,7.76,6.69,0.75,30,95,30,11,7.93,6.24,0.26,978.01,1024.38,100,8.5,49.44,0.43,251.27,106.79,4.34,1.28,1,0.51,27.5,116,7,6,1,0,15033.28,301783.69,"Entire Session",3:40:00 PM,5:35:00 PM,58.48,
2/13/2026,"Helmets","Leonte Oulahi",WR,5872.83,2211.73,2983.84,585.12,87.92,4.23,0,92.15,17.67,82.96,4.23,0.04,88,139,88,66,7.58,6.8,0.77,43,107,43,23,8.27,7.47,0.37,1052.56,1033.75,99,9.15,51.07,0.33,263.97,87,5.19,3.45,1,6.56,27.67,43,6,5,2,1,17842.94,334756.09,"Entire Session",3:40:00 PM,5:35:00 PM,67.15,
2/13/2026,"Helmets","Elijah Rainer",LB,5351.2,2489.08,2441.3,362.83,53.9,4.09,0,57.99,17.08,84.01,4.09,0.04,67,118,67,35,6.06,5.96,0.58,23,65,23,9,7.93,6.54,0.2,643.64,620.29,72,5.6,46.53,0.36,229.79,82.1,1.94,0,0,0,25.66,46,3,3,0,0,13044.4,276603.31,"Entire Session",3:40:00 PM,5:35:00 PM,56.24,
2/13/2026,"Helmets","Jaden Boring",LB,4547.69,2838.6,1372.65,322.25,14.19,0,0,14.19,15.92,74.53,0,0,51,82,51,24,6.63,5.62,0.44,17,43,17,5,6.81,4.58,0.15,519.99,486.44,49,4.52,39.55,0.31,190.9,59.84,4.85,1.32,0,0,21.02,61,7,6,1,0,8774.28,227750.54,"Entire Session",3:40:00 PM,5:35:00 PM,40.14,
2/13/2026,"Helmets","Ty Gordon",DL,3327.26,2233.31,996.84,94.48,2.63,0,0,2.63,13.6,71.84,0,0,53,89,53,28,6.3,5.88,0.46,7,38,7,2,7.28,4.08,0.06,260.22,213.92,38,2.26,28.93,0.32,133.02,43.18,0,0,2,13.98,26.67,23,0,0,0,0,6544.82,169205.91,"Entire Session",3:40:00 PM,5:35:00 PM,39.59,
2/13/2026,"Helmets","Josh Miller",RB,5081.59,1614.21,2787.37,545.86,109.15,24.98,0,134.14,17.82,86.67,24.98,0.22,78,122,78,49,6.89,6.41,0.68,39,87,39,17,7.21,7.35,0.34,954.05,958.69,100,8.3,44.19,0.67,230.88,154.69,19.11,4.74,2,16.24,21.18,198,31,30,3,2,15531.43,281857.04,"Entire Session",3:40:00 PM,5:35:00 PM,66.74,
2/13/2026,"Helmets","Clayton Dobler",LB,4226.14,2558.64,1322.75,239,77.01,28.74,0,105.75,18.16,89.86,28.74,0.25,66,103,66,43,6.25,5.77,0.57,17,36,17,9,6.56,6.63,0.15,494.45,440.34,50,4.3,36.75,0.34,177.54,59.81,3.03,1.06,1,6.83,23.45,51,5,4,1,0,10162.83,220661.83,"Entire Session",3:40:00 PM,5:35:00 PM,43.79,
2/13/2026,"Helmets","Harrison Johnson",LB,5290.07,2395.54,2350.14,454.28,84.45,5.66,0,90.11,16.79,82.22,5.66,0.05,95,146,95,51,6.94,6.36,0.83,33,76,33,16,6.36,7.12,0.29,785.73,711.23,74,6.83,46,0.52,229.9,118.49,8.17,0.86,3,20.51,31.9,117,16,15,1,0,14104.04,285410.65,"Entire Session",3:40:00 PM,5:35:00 PM,68.8,
2/13/2026,"Helmets","Brady Echols",DL,3333.76,2160,1004.07,157.6,12.09,0,0,12.09,13.38,77.61,0,0,58,104,58,27,5.72,5.21,0.5,10,44,10,1,5.75,4.26,0.09,271.43,203.56,32,2.36,28.99,0.23,132.99,30.46,0,0,0,0,20.81,11,0,0,0,0,6785.85,170036.36,"Entire Session",3:40:00 PM,5:35:00 PM,31.2,
2/13/2026,"Helmets","Haven Mullins",TE,6240.53,2851.96,2791.96,510.49,84.51,1.61,0,86.13,16.55,81.09,1.61,0.01,78,140,78,45,6.76,6.14,0.57,35,93,35,16,6.88,6.15,0.25,938.54,904.47,111,6.82,45.32,0.39,271.47,105.26,9.51,5.81,2,13.67,29.47,64,11,10,3,2,15937.78,327883.93,"Entire Session",3:35:25 PM,5:53:07 PM,68.95,
2/13/2026,"Helmets","Jor'dyn Whitelaw",RB,3757.18,1602.85,1703.44,384.75,63.52,2.62,0,66.14,18.14,83.1,2.62,0.02,49,85,49,34,7.74,6.85,0.43,24,44,24,12,7.61,6.04,0.21,610.76,629.87,62,5.31,32.67,0.62,167.9,103.3,15.18,2.97,5,40.87,21.5,107,26,25,2,1,10216.44,206099.51,"Entire Session",3:40:00 PM,5:35:00 PM,52.09,
2/13/2026,"Helmets","Jake Worthen",LB,4542.37,2415.53,1794.48,295.76,29.83,6.76,0,36.6,17.9,86.35,6.76,0.06,44,89,44,19,6.32,5.86,0.38,21,41,21,6,6.77,5.46,0.18,519.7,513.21,58,4.52,39.5,0.42,193.17,81.92,1.96,0,0,0,24.75,68,4,4,0,0,9752.34,228477.3,"Entire Session",3:40:00 PM,5:35:00 PM,48.39,
