Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
3/4/2026,"Shells","Jackson Blee",TE,3362.11,2040.78,1093.89,208.5,18.93,0,0,18.93,14.73,73.47,0,0,34,69,34,13,6.48,6.1,0.29,14,42,14,7,5.87,5.63,0.12,306,301.02,30,2.59,28.41,0.17,138.54,23.16,0.64,0,0,0,19.8,5,1,1,0,0,9125.08,169936.72,"ST Walk",3:44:33 PM,3:52:08 PM,30.35,
3/4/2026,"Shells","Garrett Robertson",WR,3318.29,1868.6,1449.69,0,0,0,0,0,9.35,44.5,0,0,6,30,6,0,6.92,3.63,0.05,0,11,0,0,7.18,2.43,0,85.97,95.96,16,0.68,26.19,0.38,137.77,52.4,2.52,1.34,0,0,27.45,12,3,2,1,0,3082.9,150479.58,"RTP",3:42:34 PM,5:46:00 PM,43.56,
3/4/2026,"Shells","Leonte Oulahi",WR,4817.54,2569.26,1739.27,392.05,109.3,7.66,0,116.96,17.94,83.09,7.66,0.06,74,109,74,57,7.58,6.87,0.57,42,75,42,24,8.27,6.31,0.31,764.73,757.08,77,6.37,40.12,0.33,209.25,68.48,8.36,5.57,4,30.06,27.45,56,8,7,3,2,13875.23,274142.55,"OTL",3:42:35 PM,3:43:57 PM,51.86,
3/4/2026,"Shells","Elijah Rainer",LB,3774.09,2150.82,1425.1,189.6,8.58,0,0,8.58,15.15,74.52,0,0,41,78,41,16,6.06,5.88,0.31,14,39,14,5,7.93,5.64,0.12,339.77,329.07,38,2.83,31.43,0.27,156.37,42.22,3.25,2.31,2,12.03,23.84,20,4,2,2,0,7788.38,187460.03,"OTL",3:42:35 PM,3:43:57 PM,40.45,
3/4/2026,"Shells","Jaden Boring",LB,4512.17,3146,1151.06,172.13,37.83,5.16,0,42.99,18.08,84.64,5.16,0.04,59,84,59,32,6.63,6.5,0.41,27,53,27,14,6.81,5.64,0.18,434.38,376.18,43,3.62,37.58,0.28,185.25,51.26,7.74,2.17,6,39.91,22.12,48,14,12,2,0,9461.61,231349.31,"OTL",3:42:35 PM,3:43:57 PM,39.04,
3/4/2026,"Shells","Josh Miller",RB,4728.4,1983.69,2032.34,610.46,93.65,8.26,0,101.91,17.89,84.95,8.26,0.07,66,93,66,49,6.89,6.38,0.53,20,63,20,14,7.21,6.54,0.16,779.1,790.57,64,6.49,39.38,0.37,210,76.72,6.27,1.81,5,37.34,20.24,77,10,8,2,0,13109.66,259431.08,"OTL",3:42:35 PM,3:43:57 PM,51.43,
3/4/2026,"Shells","Clayton Dobler",LB,3893.97,2256.68,1516.01,117.06,4.22,0,0,4.22,14.75,72.98,0,0,41,71,41,25,6.25,6.01,0.28,8,45,8,2,6.56,5.08,0.07,257.91,182.68,29,2.15,32.43,0.78,159.91,124.66,15.66,4.02,35,230.07,42.97,136,28,24,4,0,7762.67,194970.86,"OTL",3:42:35 PM,3:43:57 PM,73.68,
3/4/2026,"Shells","Harrison Johnson",LB,4774.52,2609.6,1868.48,231.34,54.45,10.64,0,65.09,17.27,81.46,10.64,0.09,83,134,83,35,6.94,6.35,0.58,32,79,32,14,6.36,6.85,0.26,578.88,507.68,63,4.82,39.76,0.29,200.5,57.37,0.6,0,3,17.34,27.65,30,1,1,0,0,11776.21,253348.33,"OTL",3:42:35 PM,3:43:57 PM,49.7,
3/4/2026,"Shells","Cayden Trotter",DB,5630.4,3032.7,2160.95,350.04,81.64,5.08,0,86.72,17.57,81.84,5.08,0.04,67,117,67,18,6.88,6.31,0.45,27,78,27,12,7.1,6.13,0.21,719.8,660.8,68,5.99,46.89,0.28,240.72,68.28,2.68,0,2,12.07,24.52,38,5,5,0,0,12000.28,290797.48,"OTL",3:42:35 PM,3:43:57 PM,55.18,
3/4/2026,"Shells","Brady Echols",DL,3587.98,2263.98,1094.68,182,43.85,3.48,0,47.33,14.55,84.4,3.48,0.03,31,75,31,12,5.72,5.33,0.26,9,40,9,3,5.75,4.77,0.05,270.17,248.62,30,2.25,29.88,0.36,144.69,52.16,0.86,0,4,21,25.68,49,2,2,0,0,7066.16,175188.25,"OTL",3:42:35 PM,3:43:57 PM,41.64,
3/4/2026,"Shells","Haven Mullins",TE,4580.06,2567.86,1669.37,271.93,70.06,0.83,0,70.89,17.05,81.23,0.83,0.01,48,79,48,24,6.76,6.3,0.42,17,43,17,8,6.88,6.67,0.12,478.79,461.54,44,3.99,38.14,0.19,192.82,37.55,2.09,1.52,3,14.77,22.33,7,2,2,1,1,9655.56,231392.29,"OTL",3:42:35 PM,3:43:57 PM,41.09,
3/4/2026,"Shells","Jake Worthen",LB,3762.76,2317,1180.34,231.08,34.34,0,0,34.34,16.46,79.4,0,0,60,89,60,23,6.32,6.2,0.4,17,47,17,8,6.77,6.06,0.13,432.1,389.11,43,3.6,31.34,0.33,157.3,51.23,1.98,1.43,0,0,21.31,45,2,1,1,0,7820.96,193411.87,"OTL",3:42:35 PM,3:43:57 PM,37.61,
3/4/2026,"Shells","Jaden Ratliff",DB,5036.95,2631.42,2035.86,302.53,57.44,9.71,0,67.15,17.07,84.97,9.71,0.08,55,129,55,21,6.65,5.51,0.36,25,76,25,9,6.87,5.4,0.16,584.26,542.29,71,4.87,41.95,0.6,212.42,126.91,6.84,1.07,4,28.06,33.56,111,13,12,1,0,11534.03,259669.72,"OTL",3:42:35 PM,3:43:57 PM,63.93,
3/4/2026,"Shells","Stephon Hicks",LB,3939.29,2689.79,1009.27,214.02,26.2,0,0,26.2,16.71,75.75,0,0,46,86,46,33,7.28,6.76,0.33,19,49,19,7,6.23,5.78,0.17,404.07,381.29,41,3.36,32.81,0.28,163.13,46.24,3.87,0.81,3,18.84,22.88,43,7,6,1,0,8865.78,204285.01,"OTL",3:42:35 PM,3:43:57 PM,37.47,
3/4/2026,"Shells","Aidan Ryan",DB,4603.8,2950.85,1039.61,465.03,137.02,11.3,0,148.32,18.46,85.5,11.3,0.09,40,76,40,15,6.44,6.32,0.32,17,57,17,2,6.59,4.97,0.13,632.4,654.91,36,4.99,36.34,2.37,197.94,470.09,300.66,214.96,8,61.43,46.61,622,298,210,145,57,8277.82,227235.36,"RTP",3:42:34 PM,5:46:00 PM,71.61,
3/4/2026,"Shells","Trevon Cannon",DB,5004.45,2922,1872.23,174.06,36.17,0,0,36.17,17.52,75.03,0,0,63,109,63,40,4,6.68,0.43,28,66,28,13,4,6.02,0.2,547.22,486.16,58,4.56,41.68,0.26,212.54,55.08,1.77,0,1,8.15,24.76,23,3,3,0,0,12084.37,262032.53,"OTL",3:42:35 PM,3:43:57 PM,48.61,
3/4/2026,"Shells","Branson Leduc-Mattox",DB,5066.41,3129.92,1508.18,347.88,60.09,20.35,0,80.44,18.14,81.93,20.35,0.17,62,107,62,28,4,6.13,0.5,22,70,22,7,4,7.65,0.15,592.28,580.29,61,4.93,42.19,0.13,213.7,27.66,0,0,1,6.04,24.01,11,0,0,0,0,11351.05,261216.33,"OTL",3:42:35 PM,3:43:57 PM,40.52,
3/4/2026,"Shells","Xavier Dillard",LB,4503.83,2632.48,1568.53,243.04,49.32,10.46,0,59.78,18.76,86.17,10.46,0.09,85,128,85,45,4,5.88,0.57,32,79,32,14,4,6.15,0.24,572.21,526.06,60,4.77,37.51,0.5,191.15,94.77,12.55,4.09,3,18.7,29.72,96,22,18,4,0,12173.53,241426.59,"OTL",3:42:35 PM,3:43:57 PM,56.22,
3/4/2026,"Shells","Kai Austin",WR,3756.65,2397.21,746.44,349.19,216.02,41.18,6.6,263.81,19.68,93.71,47.79,0.49,39,58,39,31,4,6.63,0.4,17,37,17,7,4,5.88,0.18,609.89,638.41,42,6.3,38.81,2.41,164.27,395.95,239.19,199.23,0,0,38.93,426,197,128,126,57,7852.08,193060.85,"RTP",3:42:34 PM,5:19:22 PM,55.91,
