Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
2/27/2026,"Helmets","Sean McElwain",TE,55.11,31.1,24.01,0,0,0,0,0,7.89,38.04,0,0,0,0,0,0,7.73,1.4,0,0,0,0,0,7.98,1.73,0,0,0,0,0,12.8,0.45,2.26,1.03,0,0,0,0,0.53,0,0,0,0,0,84.28,2592.71,"O&D Walk",3:57:10 PM,4:01:28 PM,0.79,
2/27/2026,"Helmets","Sean McElwain",TE,495.23,278.88,134.22,61.24,20.89,0,0,20.89,16.24,78.3,0,0,7,8,7,5,7.73,5.85,0.5,4,9,4,4,7.98,5.29,0.29,90.26,97.56,7,6.49,35.6,1.05,21.65,22.64,1.63,0,0,0,4.3,47,4,4,0,0,1557.65,26721.53,"FLEX",4:02:14 PM,4:16:09 PM,7.35,
2/27/2026,"Helmets","Sean McElwain",TE,83.84,83.84,0,0,0,0,0,0,3.77,18.18,0,0,0,0,0,0,7.73,1.44,0,0,0,0,0,7.98,1.14,0,0,0,0,0,42.13,0,3.21,0,0,0,0,0,0.7,0,0,0,0,0,45.62,3692.24,"PUR/SCRAM",4:16:16 PM,4:18:15 PM,0.7,
2/27/2026,"Helmets","Sean McElwain",TE,195.73,178.91,16.83,0,0,0,0,0,8.95,43.15,0,0,5,15,5,0,7.73,3.49,0.43,3,12,3,1,7.98,4.14,0.26,0.51,0,0,0.04,16.77,0.4,7.34,2.97,0,0,0,0,3.12,2,0,0,0,0,372.55,9418.46,"1T1",4:18:20 PM,4:30:00 PM,3.37,
2/27/2026,"Helmets","Sean McElwain",TE,312.03,178.07,86.8,47.16,0,0,0,0,14.22,68.56,0,0,8,15,8,3,7.73,4.69,0.56,5,12,5,2,7.98,4.75,0.35,52.39,52.64,5,3.67,21.87,3.3,13.49,44.56,27.96,19.2,2,13.32,3.2,71,29,21,12,4,1221.65,17385.25,"O&D SEP RUN",4:31:23 PM,4:45:39 PM,5.79,
2/27/2026,"Helmets","Sean McElwain",TE,296.1,83.55,153.65,58.9,0,0,0,0,13.4,64.61,0,0,8,16,8,3,7.73,4.37,1.25,7,16,7,2,7.98,4.66,1.09,72.36,70.51,6,11.28,46.15,1.84,13.67,25.2,11.92,10.13,0,0,2.01,38,10,7,6,3,1413.41,16396.71,"ST #1",4:47:03 PM,4:53:28 PM,4.5,
2/27/2026,"Helmets","Sean McElwain",TE,273.72,86.54,174.64,12.53,0,0,0,0,12.66,61.04,0,0,2,8,2,0,7.73,3.88,0.32,4,8,4,1,7.98,4.09,0.64,37.68,29.43,4,6.08,44.14,1.45,11.9,17.29,8.95,7.74,0,0,1.47,22,7,7,4,4,951.42,13941.2,"ST #2",4:54:27 PM,5:00:39 PM,3.66,
2/27/2026,"Helmets","Sean McElwain",TE,436.72,168.28,174.14,94.29,0,0,0,0,13.47,64.95,0,0,9,15,9,4,7.73,5.35,1.1,8,10,8,4,7.98,5.59,0.98,131.67,119.02,15,16.09,53.37,1.09,20.16,22.04,5.47,0,0,0,1.57,55,12,12,0,0,2324.79,25102.46,"Pass Skel",5:01:26 PM,5:09:37 PM,5.65,
2/27/2026,"Helmets","Sean McElwain",TE,274.88,249.3,25.58,0,0,0,0,0,6.52,31.44,0,0,0,1,0,0,7.73,2.11,0,0,0,0,0,7.98,1.8,0,0,0,0,0,19.07,0.08,10.52,0.8,0,0,0,0,2.21,0,0,0,0,0,161.52,12018.25,"O&D SEP PASS",5:10:55 PM,5:25:20 PM,2.43,
2/27/2026,"Helmets","Sean McElwain",TE,58.21,57.8,0.41,0,0,0,0,0,4.27,20.59,0,0,0,1,0,0,7.73,2.2,0,0,0,0,0,7.98,1.8,0,0,0,0,0,9.01,0.01,2.14,0.02,0,0,0,0,0.81,0,0,0,0,0,83.87,2613.48,"ST #3",5:26:15 PM,5:32:43 PM,0.81,
2/27/2026,"Helmets","Sean McElwain",TE,52.75,51.64,1.11,0,0,0,0,0,4.94,23.82,0,0,0,0,0,0,7.73,1.3,0,0,0,0,0,7.98,1.86,0,0,0,0,0,8.2,0.05,1.95,0.09,0,0,0,0,1.01,0,0,0,0,0,83.88,2376.42,"ST #4",5:32:44 PM,5:39:11 PM,1.01,
2/27/2026,"Helmets","Jackson Blee",TE,159.02,98.9,60.12,0,0,0,0,0,8.75,43.64,0,0,0,2,0,0,6.48,2.98,0,0,1,0,0,5.87,2.76,0,6.58,12.34,2,1.46,35.32,0.15,6.37,0.97,0,0,0,0,0.87,0,0,0,0,0,195.69,7335.18,"OTL",3:44:05 PM,3:48:35 PM,1.35,
2/27/2026,"Helmets","Jackson Blee",TE,84.87,45.8,39.07,0,0,0,0,0,7.91,39.45,0,0,0,1,0,0,6.48,2.03,0,0,0,0,0,5.87,0.86,0,0,0,0,0,21.74,0.13,3.46,0.46,0,0,0,0,0.44,0,0,0,0,0,102.94,3822.86,"ST Walk",3:49:13 PM,3:53:08 PM,0.76,
2/27/2026,"Helmets","Jackson Blee",TE,46.89,46.89,0,0,0,0,0,0,3.05,15.21,0,0,0,0,0,0,6.48,1.8,0,0,0,0,0,5.87,1.15,0,0,0,0,0,5.85,0,1.72,0,0,0,0,0,0.53,0,0,0,0,0,25.51,2073.36,"O&D Walk",3:53:27 PM,4:01:28 PM,0.53,
2/27/2026,"Helmets","Jackson Blee",TE,441.01,233.45,125.81,46.7,22.94,12.11,0,35.05,17.11,85.34,12.11,0.87,6,10,6,3,6.48,5.45,0.43,5,8,5,0,5.87,3.96,0.36,84.59,95.28,7,6.08,31.7,0.74,19.63,14.45,0.62,0,0,0,3.99,22,1,1,0,0,1436.79,23829.32,"FLEX",4:02:14 PM,4:16:09 PM,6.24,
2/27/2026,"Helmets","Jackson Blee",TE,79.65,64.25,15.39,0,0,0,0,0,5.7,28.43,0,0,0,3,0,0,6.48,2.54,0,0,0,0,0,5.87,1.88,0,1.2,0,0,0.6,40.02,0.17,3.08,0.53,0,0,0,0,0.86,0,0,0,0,0,142.71,3914.71,"PUR/SCRAM",4:16:16 PM,4:18:15 PM,0.94,
2/27/2026,"Helmets","Jackson Blee",TE,762.89,298.16,349.93,114.11,0.69,0,0,0.69,14.18,70.72,0,0,16,21,16,10,6.48,6.31,1.37,9,14,9,5,5.87,6.68,0.77,158.81,142.89,18,13.61,65.38,0.35,33.9,11.77,0,0,0,0,3.11,6,0,0,0,0,3343.11,45159.88,"1T1",4:18:20 PM,4:30:00 PM,8.15,
2/27/2026,"Helmets","Jackson Blee",TE,556.82,316.03,219.78,21.01,0,0,0,0,13.1,65.34,0,0,7,10,7,5,6.48,5.5,0.49,1,3,1,0,5.87,3.15,0.07,45.88,40.05,6,3.22,39.03,0.19,23,4.48,0,0,0,0,3.25,0,0,0,0,0,1714.48,28212.07,"O&D SEP RUN",4:31:23 PM,4:45:39 PM,5.42,
2/27/2026,"Helmets","Jackson Blee",TE,88.56,84.83,3.73,0,0,0,0,0,5.11,25.49,0,0,0,1,0,0,6.48,2.69,0,0,0,0,0,5.87,1.59,0,0.49,0,0,0.08,13.8,0.21,3.31,0.7,0,0,0,0,1.17,0,0,0,0,0,114.29,4102.87,"ST #1",4:47:03 PM,4:53:28 PM,1.19,
2/27/2026,"Helmets","Jackson Blee",TE,198.45,164,34.45,0,0,0,0,0,7.59,37.86,0,0,0,1,0,0,6.48,2.4,0,0,1,0,0,5.87,2.56,0,3.32,0,0,0.53,32,0.08,7.66,0.58,0,0,0,0,1.6,0,0,0,0,0,379.57,9270.09,"ST #2",4:54:27 PM,5:00:39 PM,1.85,
2/27/2026,"Helmets","Jackson Blee",TE,368.56,176.94,151.21,40.41,0,0,0,0,13.54,67.53,0,0,3,8,3,3,6.48,6.25,0.37,2,6,2,1,5.87,5.58,0.24,55.6,57.51,9,6.79,45.04,0.3,16.03,4.78,0,0,0,0,1.65,3,0,0,0,0,1350.71,20101.89,"Pass Skel",5:01:26 PM,5:09:37 PM,3.84,
2/27/2026,"Helmets","Jackson Blee",TE,399.78,225.43,131.43,42.92,0,0,0,0,13.45,67.08,0,0,3,6,3,3,6.48,5.79,0.21,0,2,0,0,5.87,2.95,0,41.28,42.47,4,2.86,27.74,0.25,16.89,4.2,0.42,0,0,0,2.27,3,1,1,0,0,1360.87,20654.89,"O&D SEP PASS",5:10:55 PM,5:25:20 PM,4.06,
2/27/2026,"Helmets","Jackson Blee",TE,115.98,102.67,13.31,0,0,0,0,0,5.84,29.13,0,0,0,1,0,0,6.48,2.55,0,0,0,0,0,5.87,1.61,0,0,0,0,0,17.95,0.07,4.39,0.33,0,0,0,0,1.26,0,0,0,0,0,153.49,5235.33,"ST #3",5:26:15 PM,5:32:43 PM,1.34,
2/27/2026,"Helmets","Jackson Blee",TE,190.72,167.18,23.54,0,0,0,0,0,6.2,30.92,0,0,0,2,0,0,6.48,2.34,0,0,3,0,0,5.87,2.39,0,0.28,0,0,0.04,29.63,0.15,7.27,1.08,0,0,0,0,2.1,0,0,0,0,0,325.27,9016.58,"ST #4",5:32:44 PM,5:39:11 PM,2.26,
2/27/2026,"Helmets","Elijah Rainer",LB,111.19,63.5,47.69,0,0,0,0,0,8.12,39.94,0,0,1,2,1,0,6.06,3.51,0.22,1,1,1,0,7.93,3.06,0.22,3.8,5.25,1,0.84,24.7,0.19,4.47,0.85,0,0,0,0,0.79,0,0,0,0,0,263.1,5349.99,"OTL",3:44:05 PM,3:48:35 PM,1.14,
2/27/2026,"Helmets","Elijah Rainer",LB,175.06,68.82,106.25,0,0,0,0,0,8.89,43.73,0,0,2,3,2,0,6.06,3.75,0.51,0,1,0,0,7.93,2.87,0,6.77,6.09,1,1.73,44.85,0.37,7.26,2.69,0,0,0,0,0.97,0,0,0,0,0,381.42,8347.43,"ST Walk",3:49:13 PM,3:53:08 PM,1.95,
