Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading
1/28/2026,Accel,Sean McElwain,TE,2371.92,1486.65,616.86,166.94,62.32,39.16,0,101.48,17.72,85.44,39.16,0.67,24,43,24,11,7.73,5.83,0.41,3,20,3,0,7.98,3.47,0.05,311.25,319.76,24,5.29,40.31,1.82,101.4,184.42,85.3,59.61,1,4.96,19.94,264,85,71,34,20,6428.08,118711.4,Entire Session,2:57:30 PM,3:56:20 PM,32.58
1/28/2026,Accel,Jackson Blee,TE,2211.47,1385.06,549.07,130.68,69.06,64.27,13.34,146.67,18.65,93.53,77.61,1.28,23,38,23,7,6.48,5.97,0.38,6,27,6,1,5.87,4.23,0.1,291.78,298.92,22,4.81,36.42,1.29,94.73,121.93,42.61,34.01,1,3.03,23.04,149,38,34,19,15,5899.92,112174.37,Entire Session,2:55:21 PM,3:56:05 PM,34.18
1/28/2026,Accel,Bryce Barnes,DB,1960.86,873.85,543.14,219.91,199.85,122.09,2.03,323.97,20.81,91.92,124.12,2.21,38,48,38,26,7.76,6.67,0.68,18,42,18,2,7.93,4.49,0.32,636.04,671.28,39,11.34,34.97,2.16,97.65,210.74,85.62,33.66,1,8.63,19.39,416,127,103,29,5,6748.76,117856.8,Entire Session,2:05:00 PM,3:01:03 PM,37.31
1/28/2026,Accel,Garrett Robertson,WR,2047.9,1014.96,514.82,229.86,186.58,101.68,0,288.26,18.69,88.96,101.68,1.68,38,54,38,17,6.92,6.55,0.63,3,38,3,0,7.18,3.2,0.05,543.92,535.56,30,8.96,33.74,0.69,96.77,66.38,9.54,1.11,0,0,14.24,83,17,16,1,0,6535.53,115817.83,Entire Session,2:05:00 PM,3:05:42 PM,28.27
1/28/2026,Accel,Leonte Oulahi,WR,2343.88,1200.71,577.51,253.08,216.85,94.81,0.94,312.59,19.2,90.14,95.75,1.55,41,54,41,33,7.58,6.95,0.66,16,38,16,7,8.27,4.72,0.26,591.37,609.42,32,9.59,38,1.7,110.24,187.72,102.16,51.67,5,21.15,21.51,286,128,97,41,10,7403.92,132675.51,Entire Session,2:05:00 PM,3:06:42 PM,38.95
1/28/2026,Accel,Elijah Rainer,LB,2464.23,1223.57,639.22,285.89,133.24,155.84,26.48,315.56,19.11,94,182.32,3.14,39,49,39,21,6.06,8.64,0.67,14,31,14,6,7.93,6.18,0.24,568.32,621.02,39,9.8,42.49,2.04,114.76,234.48,126.98,91.55,1,5.69,19.08,338,136,85,68,17,6795.28,134774.39,Entire Session,2:05:02 PM,3:03:02 PM,38.87
1/28/2026,Accel,Jaden Boring,LB,2532.31,1436.77,567.19,257.7,229.08,41.58,0,270.65,17.78,83.24,41.58,0.68,41,45,41,22,6.63,6.44,0.67,8,28,8,2,6.81,4.69,0.13,566.27,585.04,34,9.25,41.36,0.6,115.98,69.8,5.88,0,0,0,13.64,129,11,11,0,0,6611.68,136957.37,Entire Session,2:05:00 PM,3:06:13 PM,27.69
1/28/2026,Accel,Ty Gordon,DL,2512.81,1780.19,467.82,185.5,62.71,16.6,0,79.31,15.83,83.62,16.6,0.27,14,27,14,6,6.3,6.09,0.23,1,14,1,0,7.28,3.47,0.02,214.31,229.5,20,3.45,40.44,0.64,103.15,65.67,20.07,10.53,0,0,21.08,86,26,20,8,2,3852.74,121050.72,Entire Session,3:04:53 PM,4:07:01 PM,28.35
1/28/2026,Accel,Josh Miller,RB,2094.06,928.83,571.1,247.67,142.79,200.92,2.75,346.46,18.82,91.54,203.67,3.56,34,48,34,22,6.89,6.8,0.59,10,37,10,2,7.21,4.66,0.17,593.52,630.28,38,10.38,36.61,1.23,101.15,124.56,31.65,13.83,9,55.26,17.79,222,48,37,12,1,7028.83,120427.73,Entire Session,2:05:00 PM,3:02:13 PM,35.89
1/28/2026,Accel,Clayton Dobler,LB,2904.55,2076.5,547.01,130.6,84.35,65.2,0.89,150.44,18.2,90.05,66.09,0.6,28,49,28,16,6.25,9.07,0.25,7,25,7,1,6.56,4.3,0.06,291.99,291.65,23,2.65,26.32,0.51,120.17,61.68,15.82,8.16,0,0,17.57,67,22,17,7,2,5709.49,147786.22,Entire Session,2:05:00 PM,3:55:21 PM,28.41
1/28/2026,Accel,Kam Frye,OL,1809.24,1294.1,334.24,111.09,52.57,17.23,0,69.81,15.14,84.25,17.23,0.3,14,30,14,6,5.86,5.66,0.25,5,20,5,1,5.74,4.01,0.09,184.53,196.26,19,3.25,31.85,0.71,73.48,52.37,19.38,13.33,1,5.69,14.15,61,21,12,11,2,3726.28,89725.78,Entire Session,2:57:12 PM,3:54:00 PM,20.3
1/28/2026,Accel,Harrison Johnson,LB,2260.38,996.6,656.05,229.28,172.56,194.94,10.96,378.46,19.35,94.76,205.9,3.55,42,54,42,22,6.94,9.73,0.72,14,50,14,4,6.36,4.46,0.24,612.77,612.08,37,10.57,38.99,1.07,108.14,116.13,26.21,10.14,41,223.35,17.63,147,36,29,8,1,7437.12,128939,Entire Session,2:05:00 PM,3:02:58 PM,35.02
1/28/2026,Accel,Cayden Trotter,DB,2398.84,1260.7,554.06,260.71,194.77,117.98,10.63,323.37,20.63,96.09,128.61,2.07,37,49,37,25,6.88,6.68,0.59,17,41,17,2,7.1,4.43,0.27,626.04,669.72,41,10.06,38.54,1.92,113.19,217.22,91.23,40.46,3,27.79,21.13,389,126,101,32,7,6669.86,132814.42,Entire Session,2:05:00 PM,3:07:15 PM,44.29
1/28/2026,Accel,Brady Echols,DL,2022.27,1329.41,503.09,120.59,46.13,23.05,0,69.18,15.07,87.41,23.05,0.39,19,37,19,7,5.72,5.98,0.32,6,24,6,1,5.75,5.88,0.1,179.94,175.66,22,3.03,34.03,1.67,82.41,137.22,66.33,41.37,2,3.81,20.72,200,71,58,25,12,4320.39,100329.72,Entire Session,2:54:56 PM,3:54:22 PM,28.34
1/28/2026,Accel,Haven Mullins,TE,2683.76,1784.11,575.49,128.85,94.95,87.45,12.92,195.31,19.48,95.44,100.36,1.3,19,35,19,13,6.76,6.32,0.25,3,16,3,0,6.88,3.52,0.04,323.74,332.43,20,4.21,34.89,0.75,114.96,86.29,28.94,19.64,1,5.67,21.38,87,30,19,15,4,5282.65,133731.99,Entire Session,2:55:05 PM,4:12:00 PM,34.73
1/28/2026,Accel,Jake Worthen,LB,2390.22,1276.92,564.34,250.72,223.23,73.17,1.84,298.24,18.93,91.32,75.01,1.3,36,41,36,19,6.32,6.58,0.62,9,28,9,1,6.77,4.02,0.16,542.6,572.19,34,9.39,41.38,1.11,110.02,122.28,25.44,5.41,5,26.3,20.09,247,46,41,5,0,6438.55,130032.66,Entire Session,2:05:00 PM,3:02:45 PM,35.82
1/28/2026,Accel,Jaden Ratliff,DB,2716.48,1495.83,598.1,279.56,140.92,180.28,21.79,342.99,19.77,98.41,202.07,3.16,39,55,39,17,6.65,6.54,0.61,13,44,13,2,6.87,4.24,0.2,588.74,617.55,40,9.22,42.53,0.9,124.06,111.39,33.28,9.98,5,19.68,18.8,192,53,44,9,0,7969.92,145560.81,Entire Session,2:05:00 PM,3:08:51 PM,34.77
1/28/2026,Accel,Stephon Hicks,LB,2124.21,1431.88,372.83,142.66,90.69,85.2,0.96,176.85,19.66,90.1,86.16,1.44,24,36,24,19,7.28,7.33,0.4,8,19,8,1,6.23,4.29,0.13,329.97,353.52,24,5.53,35.58,1.05,93.49,98.02,37.69,30.31,1,4.74,17.71,112,32,24,18,10,5462.78,114013.28,Entire Session,2:56:22 PM,3:56:04 PM,26.81
1/28/2026,Accel,Jorden McDonald,LB,1953.98,1316.28,379.05,129.04,100.51,29.1,0,129.61,17.6,84.7,29.1,0.5,25,45,25,18,6.53,6.69,0.43,5,33,5,1,5.9,4.25,0.09,281.79,308.83,25,4.88,33.82,1.74,83.63,145.78,68.23,41.78,1,6.1,17.11,237,77,63,28,14,5192.76,103001.84,Entire Session,2:56:44 PM,3:54:30 PM,28.22
