Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
3/26/2026,"Max V","Sean McElwain",TE,720.14,637.45,73.22,9.47,0,0,0,0,11.99,57.81,0,0,17,21,17,2,7.73,4.21,0.52,7,19,7,1,7.98,4.55,0.22,19.19,12.87,1,0.59,22.14,1.11,27.65,30.68,19.54,16.53,3,19.22,10.15,39,19,9,13,3,998.91,33677.84,"Entire Session",4:28:18 PM,5:00:49 PM,11.24,
3/26/2026,"Max V","Jackson Blee",TE,2068.58,1333.06,447.92,132.92,76.51,61,17.17,154.68,19.69,98.2,78.17,1.17,11,25,11,7,6.48,5.88,0.16,1,16,1,0,5.87,3.11,0.01,254.63,275.71,15,3.81,30.95,2.66,88.89,236.64,126.88,88.62,1,7.6,29.47,372,139,92,67,20,5732.55,103814.61,"Entire Session",2:00:05 PM,3:06:55 PM,38.21,
3/26/2026,"Max V","Bryce Barnes",DB,2215.37,1332.86,526.15,187.99,74.19,84.97,9.21,168.37,21.87,96.6,94.17,1.39,13,32,13,10,7.76,6.76,0.19,7,21,7,3,7.93,4.19,0.1,373.63,398.71,19,5.51,32.68,5.51,99.8,549.38,407.35,287.89,6,49.9,39.73,736,427,287,207,67,5000.81,117433.73,"Entire Session",2:00:00 PM,3:07:48 PM,55.3,
3/26/2026,"Max V","Leonte Oulahi",WR,2212.84,1456.58,479.37,122.81,80.83,58.79,14.45,154.08,20.38,94.4,73.24,1.11,12,29,12,9,7.58,6.58,0.18,2,18,2,0,8.27,3.52,0.03,273.63,293.3,15,4.15,33.54,5.07,95.71,484.95,332.37,255,3,12.19,40.74,609,301,225,158,82,4893.61,112553.27,"Entire Session",2:01:15 PM,3:07:14 PM,54.08,
3/26/2026,"Max V","Elijah Rainer",LB,2132.35,1364.79,461.94,125.57,80.1,85.27,14.68,180.06,20.28,99.75,99.95,1.73,13,23,13,9,6.06,5.74,0.23,2,13,2,1,7.93,4.03,0.03,271.26,289.52,15,4.71,37.01,3.31,92.43,305.94,182.77,126.71,1,6.18,31.29,408,181,149,75,43,4222.21,107847.68,"Entire Session",2:09:56 PM,3:07:33 PM,44.51,
3/26/2026,"Max V","Jaden Boring",LB,2356.43,1578.14,506.28,130.15,90.74,49.15,1.97,141.86,20.61,96.49,51.12,0.8,16,28,16,10,6.63,6.46,0.25,1,23,1,0,6.81,3.26,0.02,258.7,287.08,17,4.04,36.79,4.38,101.18,442.86,287.52,167.3,1,2.12,29.4,569,320,269,103,52,5345.18,118609.29,"Entire Session",2:03:19 PM,3:07:23 PM,41.48,
3/26/2026,"Max V","Ty Gordon",DL,2953.55,2933.82,19.73,0,0,0,0,0,8.43,44.53,0,0,0,2,0,0,6.3,2.93,0,1,1,1,1,7.28,4.34,0.02,0.8,0,0,0.01,46.41,0.01,111.91,1.14,0,0,1,4.73,22.26,0,0,0,0,0,874.49,127929.94,"Entire Session",3:57:42 PM,5:01:20 PM,22.29,
3/26/2026,"Max V","Josh Miller",RB,1904.35,1168.63,428.3,141.65,89.09,51.38,25.3,165.76,20.54,97.53,76.67,1.14,17,31,17,11,6.89,6.11,0.25,3,17,3,0,7.21,3.9,0.04,297.92,316.97,17,4.45,28.43,6.03,83.96,506.32,351.63,212.95,8,68.87,36.16,745,407,298,155,46,4584.91,97537.9,"Entire Session",2:00:35 PM,3:07:35 PM,49.6,
3/26/2026,"Max V","Clayton Dobler",LB,1992.09,1404.99,330.19,116.22,71.05,55.07,14.58,140.7,19.39,95.94,69.65,1.12,9,17,9,8,6.25,5.67,0.15,1,7,1,0,6.56,3.16,0.02,220.7,233.07,11,3.56,32.13,3.41,84.19,287.04,191.66,165.33,2,17.42,26.27,310,139,110,87,58,3295,97449.38,"Entire Session",4:00:00 PM,5:02:00 PM,36.44,
3/26/2026,"Max V","Brady Echols",DL,1923.48,1327.84,407.84,107.23,41.11,35.59,3.86,80.56,16.27,94.37,39.45,0.59,23,46,23,6,5.72,5.54,0.34,4,39,4,1,5.75,4.89,0.06,156.06,156.94,11,2.34,28.8,2.31,77.75,179.89,104.72,55.16,1,5.33,25.51,283,139,102,47,10,4188.95,96073.97,"Entire Session",2:00:00 PM,3:06:48 PM,33.26,
3/26/2026,"Max V","Haven Mullins",TE,2415.35,1617.36,484.79,116.54,74.58,81.71,39.35,195.64,20.99,100,121.06,1.8,12,25,12,10,6.76,6.05,0.18,2,12,2,0,6.88,3.66,0.03,261.2,283.33,13,3.88,35.84,1.54,104.04,160.37,72.81,43.28,0,0,29.02,218,90,56,39,5,5037.28,120377.55,"Entire Session",2:00:00 PM,3:07:24 PM,41.5,
3/26/2026,"Max V","Jor'dyn Whitelaw",RB,1696.99,1099.61,345.38,162.92,66.65,21.45,0.98,89.08,19.95,91.39,22.43,0.37,12,28,12,8,7.74,6.45,0.2,3,21,3,0,7.61,3.43,0.05,235.37,247.05,12,3.93,28.33,3.01,74.06,222.59,131.26,83.3,5,42.68,24.29,334,155,106,66,17,4130.74,87063.7,"Entire Session",4:00:00 PM,4:59:53 PM,35.67,
3/26/2026,"Max V","Jake Worthen",LB,2142.56,1425.47,440.71,146.5,65.79,54.69,9.38,129.87,20.16,97.25,64.08,0.96,9,19,9,6,6.32,6.16,0.13,0,13,0,0,6.77,2.82,0,248.32,261.52,12,3.72,32.07,2.14,91.39,195.21,112.21,75.24,1,4.8,27,279,123,75,60,12,3695.66,105286.36,"Entire Session",3:53:56 PM,5:00:45 PM,37.63,
