Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading
2/25/2026,Shells,Sean McElwain,TE,3157.82,2530.63,433.98,156.84,33.1,3.27,0,36.37,16.73,80.67,3.27,0.03,20,43,20,9,7.73,5.92,0.19,14,26,14,9,7.98,6.21,0.13,236.77,208.79,15,2.19,29.23,1.17,127.31,149.48,65.77,22.76,2,13.52,31.31,291,98,80,20,2,5949.71,150011.49,Entire Session,3:59:57 PM,5:48:00 PM,40.21
2/25/2026,Shells,Jackson Blee,TE,4025.5,2417.72,1399.49,172.53,25.37,10.4,0,35.77,16.75,84,10.4,0.08,29,55,29,11,6.48,5.77,0.23,12,36,12,4,5.87,4.65,0.09,272.48,286.42,27,2.13,31.45,0.12,165.68,20.09,0,0,0,0,20.07,1,0,0,0,0,9122.41,194568.3,Entire Session,3:40:00 PM,5:48:00 PM,31.63
2/25/2026,Shells,Leonte Oulahi,WR,5115.58,2517.03,2157.1,354.97,81.39,5.08,0,86.47,17.59,82.58,5.08,0.04,81,120,81,57,7.58,7.74,0.63,37,79,37,20,8.27,6.02,0.29,729.31,733.85,76,5.7,39.97,0.22,221.74,48.54,1.18,0,3,14.46,27.03,23,2,2,0,0,13377.85,280506.03,Entire Session,3:40:00 PM,5:48:00 PM,53.04
2/25/2026,Shells,Elijah Rainer,LB,5322.09,2899.53,2137.57,238.36,42.63,4,0,46.63,16.52,81.26,4,0.03,83,132,83,46,6.06,7.19,0.65,27,54,27,13,7.93,5.02,0.21,557.16,494.94,61,4.35,41.58,0.26,221.59,58.56,4.01,3.42,4,21.69,27.92,18,4,2,3,1,12308.58,273710.9,Entire Session,3:40:00 PM,5:48:00 PM,52.79
2/25/2026,Shells,Jaden Boring,LB,4285.99,2937.72,1193.78,115.72,36.26,2.51,0,38.77,17.15,80.29,2.51,0.02,44,67,44,22,6.63,6.94,0.34,17,41,17,8,6.81,5.39,0.13,341.09,311.3,38,2.66,33.48,0.21,174.61,37.1,4.02,2.35,4,23.54,21.44,18,5,3,2,0,7550.63,211465.6,Entire Session,3:40:00 PM,5:48:00 PM,37.39
2/25/2026,Shells,Ty Gordon,DL,3184.48,2139.55,922.77,104.54,17.62,0,0,17.62,14.48,76.49,0,0,36,63,36,14,6.3,6.05,0.28,7,26,7,3,7.28,4.28,0.05,208.81,180.89,24,1.63,24.88,0.24,127.83,30.9,0.61,0,2,10.01,24.59,18,1,1,0,0,5416.28,155822.89,Entire Session,3:40:00 PM,5:48:00 PM,37.4
2/25/2026,Shells,Josh Miller,RB,5080.03,2116.48,2234.67,535.43,139.61,53.85,0,193.45,18.33,89.15,53.85,0.42,70,97,70,48,6.89,6.86,0.55,26,65,26,17,7.21,6.84,0.2,828.12,854.1,70,6.47,39.69,0.42,227.11,95.29,9.84,4.45,8,49.33,24.85,77,14,11,4,1,14347.95,274606.47,Entire Session,3:40:00 PM,5:48:00 PM,60.24
2/25/2026,Shells,Clayton Dobler,LB,4890.29,2881.25,1791.48,192.44,25.12,0,0,25.12,15.88,78.57,0,0,75,123,75,41,6.25,6.18,0.59,20,52,20,9,6.56,5.69,0.16,465.9,380.12,53,3.64,38.2,0.39,202.21,79.85,4.04,0.97,7,44.84,29.06,55,6,5,1,0,11587.69,255980.64,Entire Session,3:40:00 PM,5:48:00 PM,53.59
2/25/2026,Shells,Harrison Johnson,LB,4904.86,2774.5,1829.01,245.04,48.12,8.19,0,56.31,17.42,85.31,8.19,0.06,88,130,88,44,6.94,7.21,0.69,36,82,36,17,6.36,6.56,0.28,613.71,552.59,71,4.79,38.32,0.27,205.49,54.68,1.29,0,4,21,28.18,22,3,3,0,0,11981.74,262426.81,Entire Session,3:40:00 PM,5:48:00 PM,49.37
2/25/2026,Shells,Cayden Trotter,DB,5660.48,3439.84,1789.52,339.22,59.95,31.96,0,91.9,18.83,87.7,31.96,0.25,71,100,71,39,6.88,6.32,0.55,34,75,34,10,7.1,7.3,0.27,700.77,682.51,68,5.47,44.22,0.41,239.93,98.2,8.76,0.91,3,19.05,26.13,109,18,17,1,0,11870.35,292199.29,Entire Session,3:40:00 PM,5:48:00 PM,55.34
2/25/2026,Shells,Haven Mullins,TE,5682.36,3131.2,2161.31,320.32,60.52,9.02,0,69.54,17.39,85.2,9.02,0.07,67,106,67,49,6.76,6.57,0.52,28,53,28,18,6.88,6.3,0.22,579.17,548.98,60,4.52,44.39,0.25,239.35,59.09,2.92,1.68,4,22.35,29,20,3,3,1,1,11833.49,291607.37,Entire Session,3:40:00 PM,5:48:00 PM,56.41
2/25/2026,Shells,Jor'dyn Whitelaw,RB,4202.06,1680.57,1810.78,586.71,113.55,10.45,0,124,18.68,85.57,10.45,0.1,55,86,55,41,7.74,6.8,0.53,25,60,25,10,7.61,6.56,0.24,835.25,850.18,63,8.09,40.69,0.34,192.66,65.89,2.34,0,2,9.39,15.4,44,5,5,0,0,13146.2,234449.95,Entire Session,4:04:44 PM,5:48:00 PM,41.5
