Session Date,Session Title,Player Name,Player Primary Position,Total Distance,Distance Zone 1 (Relative),Distance Zone 2 (Relative),Distance Zone 3 (Relative),Distance Zone 4 (Relative),Distance Zone 5 (Relative),Distance Zone 6 (Relative),Distance Zone 4 - Zone 6 (Relative),Max Speed,% Max Speed,High Speed Running (Relative),HSR Per Minute (Relative),Accelerations (Relative),Accelerations Zone 3 - Zone 6 (Relative),Accelerations Zone 4 - Zone 6 (Relative),Accelerations Zone 5 - Zone 6 (Relative),Player Max Accel,Max Acceleration,Accelerations Per Min (Relative),Decelerations (Relative),Decelerations Zone 3 - Zone 6 (Relative),Decelerations Zone 4 - Zone 6 (Relative),Decelerations Zone 5 - Zone 6 (Relative),Player Max Decel,Max Deceleration,Decelerations Per Min (Relative),HML Distance,HML Efforts Total Distance,HML Efforts,HMLD Per Minute,Distance Per Min,Fatigue Index,Speed Intensity,Dynamic Stress Load,Dynamic Stress Load Zone 4 - Zone 6,Dynamic Stress Load Zone 5 - Zone 6,Collisions,Collision Load,Lower Speed Loading,Impacts Zone 3 - Zone 6 (Relative),Impacts Zone 4 - Zone 6 (Absolute),Impacts Zone 4 - Zone 6 (Relative),Impacts Zone 5 - Zone 6 (Absolute),Impacts Zone 5 - Zone 6 (Relative),Mechanical Load,Total Metabolic Power,Drill Title,Drill Start Time,Drill End Time,Total Loading,
3/7/2026,"Full Pads","Jackson Blee",TE,2832.03,1740.97,924.58,164.37,2.1,0,0,2.1,14.45,72.07,0,0,30,49,30,14,6.48,6.24,0.46,9,26,9,3,5.87,5.67,0.11,251.18,243.03,29,2.3,25.96,0.22,116.29,25.14,0,0,0,0,17.14,7,0,0,0,0,7388.71,140607.3,"O&D W",12:44:50 PM,12:54:53 PM,26.34,
3/7/2026,"Full Pads","Leonte Oulahi",WR,4115.17,2010.91,1546.23,374.47,147.69,32.99,2.87,183.56,19.64,90.97,35.86,0.33,55,73,55,45,7.58,6.86,0.59,27,53,27,11,8.27,6.35,0.25,699.44,709.63,59,6.41,37.73,0.36,183.09,65.07,6.54,2.4,22,147.16,22.54,60,10,8,2,0,11427.58,228427.57,"O&D W",12:44:50 PM,12:54:53 PM,45.63,
3/7/2026,"Full Pads","Elijah Rainer",LB,3495.26,1989.41,1331.42,159.51,14.91,0,0,14.91,16.07,79.05,0,0,39,78,39,24,6.06,5.9,0.4,11,53,11,5,7.93,5.7,0.12,346.63,302.57,37,3.18,32.04,0.25,145.21,36.74,2.03,0.95,1,5.67,21.1,10,3,2,1,0,8081.81,178146.11,"O&D W",12:44:50 PM,12:54:53 PM,35.96,
3/7/2026,"Full Pads","Jaden Boring",LB,3606.31,2394.71,1011.28,166.19,34.12,0,0,34.12,16.27,76.17,0,0,43,69,43,23,6.63,6.23,0.42,22,36,22,9,6.81,4.97,0.18,369.74,343,37,3.39,33.06,0.36,149.09,54.12,4.12,3.21,1,7.39,22.11,54,5,2,3,0,7818.99,181693.48,"O&D W",12:44:50 PM,12:54:53 PM,38.56,
3/7/2026,"Full Pads","Josh Miller",RB,4090.25,1856.81,1721.04,421.42,57.87,31.29,1.83,90.98,18.77,89.13,33.12,0.3,51,78,51,36,6.89,6.4,0.46,23,43,23,13,7.21,9.15,0.17,645.45,648.6,61,5.92,37.5,0.37,179.67,67.23,7.72,6.52,5,36.95,18.2,54,6,4,4,2,9974.74,218338.77,"O&D W",12:44:50 PM,12:54:53 PM,41.98,
3/7/2026,"Full Pads","Clayton Dobler",LB,3220.01,2128.28,992.9,83.9,14.93,0,0,14.93,15.35,75.95,0,0,40,71,40,16,6.25,5.64,0.42,5,26,5,2,6.56,6.1,0.06,219.64,161.61,25,2.01,29.52,0.27,129.9,34.61,0.98,0,1,7.16,21.06,27,2,2,0,0,6153.46,160253.82,"O&D W",12:44:50 PM,12:54:53 PM,34.7,
3/7/2026,"Full Pads","Harrison Johnson",LB,3259.52,1966.83,1123.61,113.46,48.31,7.31,0,55.62,17.09,80.61,7.31,0.07,54,87,54,29,6.94,6.56,0.54,18,52,18,3,6.36,4.8,0.19,380.52,325.35,41,3.49,29.88,0.35,135.12,47.65,3.88,1.72,1,5.78,22.25,32,6,4,2,0,7977.57,170528.2,"O&D W",12:44:50 PM,12:54:53 PM,36.62,
3/7/2026,"Full Pads","Cayden Trotter",DB,3534.03,1881.58,1363.78,209.78,66.87,12.01,0,78.88,18.34,85.42,12.01,0.11,36,71,36,11,6.88,6.44,0.35,19,44,19,8,7.1,7.75,0.22,506.06,505.4,46,4.64,32.4,0.4,152.61,60.99,5.25,3.97,1,6.81,17.57,48,5,5,2,2,7578.09,180567.07,"O&D W",12:44:50 PM,12:54:53 PM,38.04,
3/7/2026,"Full Pads","Brady Echols",DL,3069.08,1955.91,885.95,184.57,39.16,3.49,0,42.65,14.44,83.76,3.49,0.03,25,84,25,11,5.72,5.06,0.27,6,25,6,0,5.75,3.81,0.04,226.14,222.86,21,2.07,28.14,0.17,123.69,21.5,0,0,1,5.9,19.25,6,0,0,0,0,5683.87,148893.9,"O&D W",12:44:50 PM,12:54:53 PM,28.24,
3/7/2026,"Full Pads","Haven Mullins",TE,4088.07,2296.13,1435.83,326.29,29.02,0.8,0,29.82,16.35,77.89,0.8,0.01,59,86,59,40,6.76,6.63,0.61,20,50,20,11,6.88,6.85,0.2,528.26,532.58,58,4.84,37.48,0.27,173.32,47.32,5.04,4.27,5,33.75,20.89,19,4,4,2,2,10041.28,216419.93,"O&D W",12:44:50 PM,12:54:53 PM,39,
